Date,Open,High,Low,Close,Volume
2010-12-31,14.862791,14.904634,14.74548,14.793799,61802787
2011-01-03,14.856315,15.083214,14.856315,15.05233,94962614
2011-01-04,15.083962,15.097909,14.946975,14.996788,73253547
2011-01-05,14.94573,15.201272,14.945232,15.16989,101671667
2011-01-06,15.209989,15.403016,15.194298,15.280226,82620526
2011-01-07,15.340251,15.398533,15.196291,15.353451,84363033
2011-01-10,15.312605,15.3273,15.157187,15.29791,63404769
2011-01-11,15.385083,15.412231,15.305133,15.342742,57787794
2011-01-12,15.42593,15.42593,15.311857,15.364161,65552790
2011-01-13,15.366652,15.4339,15.296664,15.359678,53560006
2011-01-14,15.377362,15.548471,15.369392,15.546229,94978674
2011-01-18,15.593053,15.989816,15.573377,15.931037,145222296
2011-01-19,15.993054,16.013975,15.682717,15.734772,136754676
2011-01-20,15.746229,15.792805,15.524062,15.610737,220254485
2011-01-21,15.929791,15.983341,15.226926,15.238632,357511035
2011-01-24,15.13253,15.25507,14.974621,15.219952,184657557
2011-01-25,15.148221,15.459305,15.106378,15.439878,146418764
2011-01-26,15.450338,15.504137,15.32456,15.354946,81829572
2011-01-27,15.389566,15.434647,15.273999,15.362169,81070738
2011-01-28,15.418956,15.451086,14.938009,14.968644,169878368
2011-01-31,15.03365,15.055319,14.833152,14.952953,112616538
2011-02-01,15.055817,15.27649,15.021446,15.218956,110223602
2011-02-02,15.217959,15.301148,15.131533,15.242866,70691981
2011-02-03,15.180101,15.229167,15.096664,15.196789,60028160
2011-02-04,15.196789,15.228918,15.108619,15.217461,62264511
2011-02-07,15.197038,15.402019,15.173376,15.299902,72253814
2011-02-08,15.315842,15.432904,15.305382,15.40177,68050116
2011-02-09,15.364161,15.42842,15.251334,15.354946,73976246
2011-02-10,15.290189,15.379853,15.231907,15.353451,93725996
2011-02-11,15.287449,15.566652,15.267773,15.554199,103984303
2011-02-14,15.525307,15.682219,15.443115,15.645108,85439051
2011-02-15,15.624436,15.693427,15.51933,15.545482,83993653
2011-02-16,15.582344,15.604012,15.494423,15.547225,67612482
2011-02-17,15.473252,15.622692,15.449093,15.573128,59373716
2011-02-18,15.591559,15.720575,15.546229,15.693178,129198459
2011-02-22,15.442866,15.564909,15.137511,15.198283,146141730
2011-02-23,15.201272,15.310114,15.043613,15.225929,116017237
2011-02-24,15.227673,15.270014,14.97761,15.163663,108874565
2011-02-25,15.239379,15.310612,15.180599,15.194049,77585724
2011-02-28,15.193053,15.354697,15.143488,15.277735,91602065
2011-03-01,15.386826,15.422692,14.926552,14.962915,133426247
2011-03-02,14.939005,15.093426,14.824185,14.963663,81371863
2011-03-03,15.102891,15.230164,15.068519,15.182094,78103658
2011-03-04,15.151459,15.167648,14.948968,14.959428,120891439
2011-03-07,14.957685,15.035892,14.6202,14.736265,139027162
2011-03-08,14.767896,14.893675,14.699901,14.752454,91738575
2011-03-09,14.719826,14.807249,14.589067,14.739005,86362499
2011-03-10,14.581346,14.610735,14.432155,14.453325,125592995
2011-03-11,14.40152,14.445853,14.279726,14.363911,121734587
2011-03-14,14.266526,14.403263,14.147472,14.196538,113066217
2011-03-15,13.885454,14.221694,13.835641,14.185828,160824559
2011-03-16,14.147223,14.191557,13.730535,13.875491,152509508
2011-03-17,14.059302,14.17188,13.96117,13.981594,116406692
2011-03-18,14.063287,14.146725,13.941245,13.974122,132438559
2011-03-21,14.202266,14.440872,14.172378,14.35868,121288923
2011-03-22,14.377858,14.426675,14.259303,14.379104,75758903
2011-03-23,14.326052,14.506875,14.2466,14.499652,72920303
2011-03-24,14.581096,14.65482,14.415965,14.61746,84262658
2011-03-25,14.617211,14.617958,14.426924,14.439378,114764559
2011-03-28,14.49741,14.570138,14.314097,14.330287,89068604
2011-03-29,14.346227,14.492927,14.271756,14.488942,64432607
2011-03-30,14.554944,14.58284,14.460299,14.491682,57105245
2011-03-31,14.520573,14.649092,14.489191,14.614222,81480268
2011-04-01,14.664036,14.824185,14.664036,14.739752,104919797
2011-04-04,14.76964,14.812977,14.523064,14.637136,82488031
2011-04-05,14.472753,14.482964,14.08919,14.174122,242806701
2011-04-06,14.251083,14.325305,14.146974,14.300897,107132058
2011-04-07,14.339502,14.461794,14.301146,14.445853,101639547
2011-04-08,14.567647,14.567647,14.397535,14.400025,76357137
2011-04-11,14.351208,14.398531,14.271507,14.380349,74606600
2011-04-12,14.32132,14.368892,14.148219,14.21198,83736694
2011-04-13,14.334023,14.386077,14.240374,14.353201,83086265
2011-04-14,14.326052,14.432155,14.249091,14.408742,219070062
2011-04-15,13.581344,13.592801,13.202016,13.217956,563853569
2011-04-18,13.111355,13.14224,12.926548,13.121816,202347616
2011-04-19,13.199276,13.222439,12.973871,12.989562,107766427
2011-04-20,13.098404,13.121318,12.986075,13.09417,122858785
2011-04-21,13.138006,13.157682,13.010982,13.078479,99174342
2011-04-25,13.082215,13.125801,13.001517,13.077233,65476506
2011-04-26,13.113846,13.385827,13.081218,13.270758,140524754
2011-04-27,13.399774,13.402514,13.308865,13.393797,92280599
2011-04-28,13.401269,13.430908,13.30214,13.399027,80299860
2011-04-29,13.449588,13.551705,13.412477,13.551705,169773978
2011-05-02,13.591556,13.592303,13.377857,13.413722,85667905
2011-05-03,13.378106,13.49965,13.191306,13.297408,83572079
2011-05-04,13.329289,13.424681,13.275739,13.344731,84997401
2011-05-05,13.296661,13.435142,13.237881,13.306873,80211530
2011-05-06,13.40351,13.485951,13.329538,13.332526,82552271
2011-05-09,13.325054,13.411979,13.227919,13.391804,78240168
2011-05-10,13.449588,13.559924,13.388317,13.515839,82022292
2011-05-11,13.453075,13.538006,13.292427,13.336262,93902656
2011-05-12,13.331032,13.373373,13.223186,13.3263,58149143
2011-05-13,13.315341,13.347969,13.17686,13.189313,84664157
2011-05-16,13.108616,13.132526,12.861791,12.912102,118771522
2011-05-17,12.837631,13.230907,12.827669,13.211978,132639308
2011-05-18,13.189064,13.20874,13.093423,13.195789,78420843
2011-05-19,13.268516,13.363411,13.193547,13.231655,99118132
2011-05-20,13.245353,13.250085,13.029413,13.051829,93047462
2011-05-23,12.866772,12.951455,12.787071,12.911355,92344839
2011-05-24,12.96067,13.050085,12.905377,12.908117,76284867
2011-05-25,12.884954,13.020446,12.882961,12.943236,52259149
2011-05-26,12.894169,13.004257,12.826922,12.904879,85057626
2011-05-27,12.913597,12.996038,12.8593,12.973871,70093747
2011-05-31,13.075988,13.17686,13.038628,13.176113,107894906
2011-06-01,13.151704,13.280222,13.083709,13.090932,118679178
2011-06-02,13.139998,13.207993,13.013223,13.152202,88510520
2011-06-03,13.001268,13.140745,12.988815,13.028167,70202152
2011-06-06,13.039624,13.121318,12.932775,12.977856,77975179
2011-06-07,13.023435,13.066773,12.926299,12.927295,76590006
2011-06-08,12.865029,12.982339,12.846349,12.930782,66383894
2011-06-09,12.951455,12.951455,12.842862,12.87001,67817246
2011-06-10,12.804007,12.869014,12.684705,12.690184,97961814
2011-06-13,12.702388,12.70737,12.507369,12.57113,97455925
2011-06-14,12.656311,12.804007,12.627419,12.661791,94011061
